iter	RMSE
0	0.3876418699
1	0.3740768989
2	0.3618961323
3	0.3506634952
4	0.3399578711
5	0.3288638773
6	0.3187966884
7	0.3089631319
8	0.299591539
9	0.2909698441
10	0.2828226508
11	0.2746916437
12	0.2671264366
13	0.2601820124
14	0.2539291144
15	0.2476310638
16	0.2416014303
17	0.2360503983
18	0.2309428168
19	0.2258381714
20	0.2209665198
21	0.2162798475
22	0.2120804363
23	0.2081644666
24	0.2044630515
25	0.200551985
26	0.1970836936
27	0.1935119946
28	0.1902431866
29	0.1871497748
30	0.1839335825
31	0.1809732972
32	0.1780738587
33	0.1755282365
34	0.1731562613
35	0.170800182
36	0.1685476286
37	0.166558729
38	0.1644948817
39	0.162507023
40	0.1607427
41	0.1590594295
42	0.1575475372
43	0.1558001957
44	0.1542894451
45	0.153043823
46	0.1517972117
47	0.1506358715
48	0.1492682553
49	0.1480268249
50	0.1468658935
51	0.1456800026
52	0.1446251006
53	0.1434599166
54	0.1425230052
55	0.1414220353
56	0.1404786307
57	0.1397070011
58	0.1389218426
59	0.1382227281
60	0.137291755
61	0.1364019568
62	0.1355130087
63	0.1348639792
64	0.1339753476
65	0.1331653382
66	0.1324643616
67	0.131799748
68	0.1309114632
69	0.1302806311
70	0.1297340038
71	0.129184378
72	0.1285199916
73	0.1278165706
74	0.1273891134
75	0.1268624122
76	0.1262957718
77	0.1258965938
78	0.1252557724
79	0.1249505008
80	0.1242612623
81	0.1238911352
82	0.1235477585
83	0.1232723591
84	0.1228112489
85	0.122336926
86	0.1220157438
87	0.1212852246
88	0.120962321
89	0.120591874
90	0.1201019594
91	0.119733809
92	0.1195239543
93	0.1193145209
94	0.1188449133
95	0.1185358673
96	0.1182480401
97	0.1180966979
98	0.1177558741
99	0.1172345134
100	0.1168509543
101	0.116628411
102	0.1163758025
103	0.1160406868
104	0.1158581191
105	0.115726937
106	0.1153588349
107	0.1151148632
108	0.1150543088
109	0.1148608215
110	0.1144234384
111	0.1143092913
112	0.1141795112
113	0.1139278968
114	0.113540043
115	0.1134414239
116	0.1132993599
117	0.1131107655
118	0.112967429
119	0.1128160679
120	0.112755799
121	0.1126411376
122	0.11224772
123	0.1121240704
124	0.1119890379
125	0.1118130007
126	0.1115431255
127	0.1113884155
128	0.1112236005
129	0.111181421
130	0.1109818172
131	0.1106912156
132	0.1105575371
133	0.1105336293
134	0.1104979175
135	0.1103059161
136	0.1100453036
137	0.1099408163
138	0.1097295254
139	0.1094224398
140	0.1093642709
141	0.1093258744
142	0.1092649224
143	0.1092119631
144	0.1091376417
145	0.1090777122
146	0.1088451602
147	0.1088031514
148	0.1085877628
149	0.1085339556
150	0.1084832473
151	0.1084358843
152	0.1083856409
153	0.1082671882
154	0.1081593228
155	0.1081175709
156	0.1080476386
157	0.1079894429
158	0.1078959575
159	0.1076360808
160	0.1076008819
161	0.1074210964
162	0.1073447024
163	0.1072564312
164	0.106955068
165	0.1068667895
166	0.1068308651
167	0.1068147217
168	0.1067748709
169	0.1066301386
170	0.106482395
171	0.1064503005
172	0.106327116
173	0.1061077253
174	0.1060466789
175	0.1059830285
176	0.1059522532
177	0.1059342149
178	0.1058715271
179	0.1057909564
180	0.1057788715
181	0.1056424699
182	0.1056287728
183	0.1056130784
184	0.1056009925
185	0.1053974025
186	0.1051845666
187	0.1048235799
188	0.1047185181
189	0.1046500286
190	0.1045966613
191	0.1044124687
192	0.1044023921
193	0.104020073
194	0.1036417714
195	0.1035878213
196	0.1035768609
197	0.1035683498
198	0.1031252796
199	0.1030953652
200	0.1030320127
201	0.1029369008
202	0.1029279464
203	0.1028518029
204	0.1025769856
205	0.1025641742
206	0.1025452201
207	0.1024177071
208	0.1022968931
209	0.1021081184
210	0.1020519996
211	0.1020409706
212	0.1019835526
213	0.1019366327
214	0.1017750025
215	0.1017659016
216	0.1014301379
217	0.1014103815
218	0.1013711362
219	0.101322039
220	0.1012431529
221	0.1011922554
222	0.1011690119
223	0.1011168161
224	0.1009991834
225	0.1009754041
226	0.1008494718
227	0.1007428987
228	0.1006718755
229	0.1006108317
230	0.1004460926
231	0.1004237338
232	0.1001257933
233	0.09996546791
234	0.09990731255
235	0.0998833431
236	0.09982122561
237	0.09972704357
238	0.09957067988
239	0.09952879778
240	0.09934665753
241	0.09932687473
242	0.09926842373
243	0.09924648953
244	0.09923325645
245	0.09912246806
246	0.09902680168
247	0.09867345024
248	0.09861938482
249	0.09852570185
250	0.09849850326
251	0.09843878152
252	0.09838189498
253	0.09819920988
254	0.09809481909
255	0.09802726036
256	0.09793413715
257	0.09791296348
258	0.09790173627
259	0.09784765509
260	0.09783684364
261	0.0977987678
262	0.09779300734
263	0.09776591106
264	0.09774650044
265	0.09768187406
266	0.09765577137
267	0.0975095673
268	0.09738123289
269	0.09735191623
270	0.09732963016
271	0.09729615568
272	0.09726999164
273	0.09724942804
274	0.09723368834
275	0.09721773944
276	0.09690710818
277	0.09688261229
278	0.09685528672
279	0.09683358922
280	0.09680514015
281	0.09678805737
282	0.09674048672
283	0.09672775431
284	0.09671670322
285	0.09669989738
286	0.09668290203
287	0.09667471283
